Categoria: Todas as categorias;
;
País;Data Science: (01/01/2004 â€“ 08/04/2022)
Índia;100
Ruanda;
Singapura;87
Zimbábue;
Etiópia;
Nigéria;72
Botsuana;
Santa Helena;
Lesoto;
Nepal;62
Paquistão;58
Gana;55
Quênia;54
Essuatíni;
Malaui;
Butão;
áfrica do Sul;42
Hong Kong;41
Uganda;
Estados Unidos;40
Camarões;
Antígua e Barbuda;
Emirados árabes Unidos;39
Bangladesh;37
Filipinas;36
Maurício;
Namíbia;
Austrália;34
Sri Lanka;34
Laos;
Canadá;31
Malásia;29
Libéria;
Belize;
Zâmbia;
Somália;
Líbano;
Trinidad e Tobago;
Guiana;
Catar;
Reino Unido;27
Benin;
Mianmar (Birmânia);
Tunísia;26
Irlanda;26
Jamaica;
Guam;
Madagascar;
Afeganistão;
Armênia;
Países Baixos;24
SuíÃ§a;24
Costa do Marfim;
Omã;
Senegal;
Tanzânia;
Mongólia;
Coreia do Sul;22
Chipre;
Barein;
Nova Zelândia;20
Barbados;
Macau;
Luxemburgo;
Macedônia do Norte;
Azerbaijão;
Brunei;
Israel;16
Islândia;
Tailândia;16
Marrocos;16
Fiji;
Camboja;
Alemanha;15
Portugal;15
Vietnã;15
Bahamas;
Albânia;
Haiti;
Nova Caledônia;
Noruega;13
Grécia;13
Jordânia;
Sudão;
Indonésia;13
Egito;13
Dinamarca;13
Kosovo;
Kuwait;
áustria;13
MoÃ§ambique;
Palestina;
Sérvia;12
Cuba;
Suriname;
Angola;
Cazaquistão;11
Gabão;
FranÃ§a;10
Estônia;
Brasil;10
Porto Rico;
Arábia Saudita;10
Bélgica;10
Rússia;10
Chile;10
Taiwan;10
Congo - Kinshasa;
Finlândia;9
Uzbequistão;
Espanha;9
Itália;9
Suécia;9
Bielorrússia;
China;9
Panamá;
Costa Rica;
Geórgia;
Uruguai;
Quirguistão;
Peru;8
Irã;8
Croácia;
Líbia;
Ucrânia;8
Polônia;7
Bósnia e Herzegovina;
Lituânia;
Letônia;
Argélia;
Bulgária;
Honduras;
Eslovênia;
República Dominicana;
Tchéquia;
Iêmen;
Guatemala;
Hungria;6
Colômbia;6
Argentina;6
Equador;
Síria;
Moldávia;
México;5
Paraguai;
Iraque;
Bolívia;
Romênia;5
El Salvador;
Eslováquia;
Turquia;4
Venezuela;
Japão;2
Eritreia;
Svalbard e Jan Mayen;
Território Britânico do Oceano índico;
Samoa Americana;
Gâmbia;
Ilhas Virgens Americanas;
Serra Leoa;
Sudão do Sul;
São Cristóvão e Névis;
Ilhas Malvinas (Ilhas Falkland);
Papua-Nova Guiné;
Ilhas Marianas do Norte;
Liechtenstein;
Níger;
Granada;
São Vicente e Granadinas;
Togo;
Comores;
Burundi;
Bermudas;
CuraÃ§ao;
Micronésia;
Ilhas Salomão;
Maldivas;
República do Congo;
Santa Lúcia;
Ilhas Cayman;
Seicheles;
Malta;
Groenlândia;
Burquina Faso;
Vanuatu;
São Tomé e Príncipe;
Saara Ocidental;
Dominica;
Gibraltar;
Chade;
República Centro-Africana;
Ilhas Virgens Britânicas;
Guernsey;
Cabo Verde;
Mali;
Ilhas Faroé;
Jersey;
Ilhas Marshall;
Ilha de Man;
Djibuti;
Palau;
Mauritânia;
Aruba;
Ilhas Turcas e Caicos;
Timor-Leste;
Guiné;
Guiné Equatorial;
Guiné-Bissau;
Samoa;
Andorra;
Montenegro;
Tonga;
Ilhas Aland;
San Marino;
Anguila;
Tadjiquistão;
Sint Maarten;
Polinésia Francesa;
Nicarágua;
Reunião;
Mônaco;
São Bartolomeu;
Turcomenistão;
Guiana Francesa;
Martinica;
Guadalupe;
Mayotte;
Antártida;
Territórios Franceses do Sul;
Países Baixos Caribenhos;
Ilha Bouvet;
Ilhas Cocos (Keeling);
Ilhas Cook;
Ilha Christmas;
Ilhas Heard e McDonald;
Quiribati;
São Martinho;
Montserrat;
Ilha Norfolk;
Niue;
Nauru;
Ilhas Pitcairn;
Coreia do Norte;
Ilhas Geórgia do Sul e Sandwich do Sul;
São Pedro e Miquelão;
Tokelau;
Tuvalu;
Ilhas Menores Distantes dos EUA;
Cidade do Vaticano;
Wallis e Futuna;
